participant_id,group_id,VerbControllerIR,VerbControllerIR_rating,RC415IR,RC415IR_rating,PathHierarchy2FR,PathHierarchy2FR_rating,GETRetrieveIR,GETRetrieveIR_rating,PathHierarchy3FR,PathHierarchy3FR_rating,NoRC200ErrorIR,NoRC200ErrorIR_rating,NoTunnelFR,NoTunnelFR_rating,PluralNounFR,PluralNounFR_rating,POSTCreateIR,POSTCreateIR_rating,PathHierarchy1IR,PathHierarchy1IR_rating,CRUDNamesFR,CRUDNamesFR_rating,RC401FR,RC401FR_rating,VerbControllerFR,VerbControllerFR_rating,RC415FR,RC415FR_rating,PathHierarchy2IR,PathHierarchy2IR_rating,GETRetrieveFR,GETRetrieveFR_rating,PathHierarchy3IR,PathHierarchy3IR_rating,NoRC200ErrorFR,NoRC200ErrorFR_rating,NoTunnelIR,NoTunnelIR_rating,PluralNounIR,PluralNounIR_rating,POSTCreateFR,POSTCreateFR_rating,PathHierarchy1FR,PathHierarchy1FR_rating,CRUDNamesIR,CRUDNamesIR_rating,RC401IR,RC401IR_rating,VerbControllerIRTime,RC415IRTime,PathHierarchy2FRTime,GETRetrieveIRTime,PathHierarchy3FRTime,NoRC200ErrorIRTime,NoTunnelFRTime,PluralNounFRTime,POSTCreateIRTime,PathHierarchy1IRTime,CRUDNamesFRTime,RC401FRTime,VerbControllerFRTime,RC415FRTime,PathHierarchy2IRTime,GETRetrieveFRTime,PathHierarchy3IRTime,NoRC200ErrorFRTime,NoTunnelIRTime,PluralNounIRTime,POSTCreateFRTime,PathHierarchy1FRTime,CRUDNamesIRTime,RC401IRTime,Country,Profession,DeveloperPerspective,DeveloperPerspective[other],is_Student,is_Academia,is_Germany,YearsOfExperience,RichardsonMaturity,MaturityLevel,AdditionalComment
117,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,0,5,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,16.21,57.74,23.02,28.08,21.75,16.75,28.16,15.19,89.99,19.14,22.29,27.61,,,,,,,,,,,,,Germany,Student,API user / client developer,,1,0,1,5,0,,
119,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,5,1,2,1,4,1,3,1,4,1,3,0,3,1,2,0,2,1,4,,,,,,,,,,,,,18.3,38.98,53.28,19.35,41.85,33.38,33.58,27.29,14.22,54.03,14.79,134.1,Germany,Software Engineer / Developer,API user / client developer,,0,0,1,1,0,,
120,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,2,1,1,1,3,1,2,1,2,1,1,0,2,1,4,,,,,,,,,,,,,35.57,20.61,12.45,34.58,22.05,32.35,42.71,21.77,29.35,9.3,12.59,36.43,Germany,Student,API developer / designer,,1,0,1,3,0,,
122,1,1,2,1,2,1,1,1,3,1,2,1,4,0,2,1,1,1,1,1,4,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,32.4,49.25,23.94,76.1,55.57,72.77,155.65,28.21,28.4,43.89,27.96,19.64,,,,,,,,,,,,,Germany,Student,Both API user and developer,,1,0,1,3,0,,
123,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,1,1,1,1,0,5,1,2,,,,,,,,,,,,,16.12,18.79,37.03,17.43,27.66,33.57,61.88,21.5,39.08,11.46,30.19,52.15,United States,Software Engineer / Developer,Both API user and developer,,0,0,0,4,0,,
127,1,1,3,1,2,1,1,0,4,1,1,1,4,1,4,1,1,1,4,1,5,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,62.6,53.4,26.16,27.44,49.49,63.14,59.51,23.72,52.33,49.08,39.17,52.63,,,,,,,,,,,,,Germany,Software Engineer / Developer,API user / client developer,,0,0,1,1,0,,
128,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,3,1,3,1,2,1,2,1,4,1,3,1,2,1,1,0,4,1,4,,,,,,,,,,,,,172.27,64.21,28.24,23.45,14.39,23.06,36.31,38.45,12.56,13.99,41.58,58.4,United States,Software Engineer / Developer,Both API user and developer,,0,0,0,3,0,,
129,1,1,1,1,3,1,3,1,1,1,4,1,1,1,5,1,2,1,2,1,1,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,25.4,61.02,17.98,24.43,45.67,20.56,40.71,20.04,15.99,16.84,24.63,12.54,,,,,,,,,,,,,Germany,Other,Other,,0,0,1,1,0,,
130,1,1,2,1,2,1,1,0,2,1,1,1,4,1,1,1,1,1,4,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,106.55,113.5,49.28,110.94,36.27,116.4,46.48,49.6,65.8,36.92,35.64,42.79,,,,,,,,,,,,,Germany,Consultant,API developer / designer,,0,0,1,5,0,,
132,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,5,1,1,1,2,1,2,1,4,1,3,1,1,1,1,1,3,1,2,,,,,,,,,,,,,24.44,22.17,42.36,15.8,18.48,23.85,20.9,19.23,11.23,10.96,21.67,54.8,Germany,Consultant,Both API user and developer,,0,0,1,6,0,,
134,1,1,3,1,1,1,1,1,3,1,2,0,2,0,1,1,1,1,1,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,52.49,45.24,23.26,29.66,54.89,65.43,37.48,18.75,26.44,32.01,45.76,23.13,,,,,,,,,,,,,United States,Software Engineer / Developer,Both API user and developer,,0,0,0,8,0,,
135,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,4,1,1,1,2,1,1,1,5,1,1,1,2,0,5,1,4,,,,,,,,,,,,,23.43,26.81,47.57,32.68,38.9,43.16,35.89,47.58,17.35,27.72,67.52,56.73,Germany,Student,Other,There is no reason this wouldn't be better understandable and usable if it were GraphQL,1,0,1,5,0,,Rest has way too many possibilities where the functionality of the API is dependant of the interpretation of (non existing) doc. GraphQL basically forces to be structured and documented as well as introduce type safety. So just use GraphQL
136,1,1,2,1,4,1,1,1,3,1,2,1,4,1,2,1,1,1,3,1,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,24.1,35,13.86,40.33,23.64,25.15,36.36,9.74,30.21,22.66,12.72,11.54,,,,,,,,,,,,,Switzerland,Software Engineer / Developer,Both API user and developer,,0,0,0,6,1,2,
139,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0,5,1,2,1,2,1,2,0,2,1,1,1,1,1,1,0,2,0,4,,,,,,,,,,,,,29.47,56.8,74.85,28.26,43.18,43.29,44.72,108.46,22.32,21.88,41.44,52.83,Germany,Student,API user / client developer,,1,0,1,1,0,,
140,1,1,3,1,2,1,1,1,2,1,4,1,1,1,2,1,1,0,1,1,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,113.62,54.22,22.98,48.2,89.65,76.71,35.47,13.98,23.67,126.38,61.47,194.52,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
141,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,4,1,3,1,2,0,2,0,4,1,1,1,1,1,1,1,3,0,2,,,,,,,,,,,,,46.81,26.02,49.84,20.82,41.97,59.47,49.98,13.09,15.92,14.77,23.66,52,Germany,Student,API developer / designer,,1,0,1,3,1,2,
142,1,0,2,1,4,1,1,0,5,0,2,0,1,1,1,1,2,0,1,0,5,1,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,45.54,86.13,34.44,37.77,80.74,41.32,34.69,31.2,28.49,67.54,43.41,48.69,,,,,,,,,,,,,Germany,Student,API user / client developer,,1,0,1,1,0,,
143,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,1,3,1,3,,,1,3,0,4,1,3,1,3,1,2,0,4,1,3,,,,,,,,,,,,,43.87,48.46,36.04,25.59,,38.52,128.06,11.96,27.09,26.37,39.09,54.11,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,10,1,3,"Well, all of the API examples didn't have any description so one had to guess based on the URL path. I've been taught that it is dangerous to read to deep into an URL, yet it was the only source of information. So basically that's the reason I rated all APIs bad to understand. Those with more parameters had more context, so it was easier to understand. I would have preferred this context to be given by description instead of parameters. So if you interpret my ratings you could come to the conclusion that I think: Parameters - the more the merrier! That's actually not the case. However context (almost always) helps. Also the one question with the ""delete queue"" and the GET request: I have no clue what it does. I just hope that it doesn't actually delete the queue instead. As it shouldn't, it's a GET, isn't it? Well, it's not that I've not seen APIs delete stuff on a GET request. I host HOPE it's not what it does. Would I rely on it: Probably not… Good luck for the further studies and don't read too much into API endpoints! ;-)"
145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,31.44,45.72,18.46,19.85,25.65,28.91,23.79,9.79,52.17,16.33,16.63,42.43,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
147,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,4,1,1,1,1,1,2,0,3,1,1,1,1,1,1,1,5,0,1,,,,,,,,,,,,,44.21,42.76,29.39,30.86,23.83,50.38,26.16,38.2,16.13,26.47,47.8,93.04,Germany,Sysadmin,API user / client developer,,0,0,1,6,0,,
148,1,1,4,1,1,1,1,0,5,1,1,1,5,1,1,1,2,1,5,1,4,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,48.05,55.04,27.02,95.61,46.54,49.27,19.32,33.35,52.81,75.4,46.61,33.75,,,,,,,,,,,,,Germany,Consultant,Both API user and developer,,0,0,1,15,1,3,
149,1,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,4,1,3,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,49.68,54.65,42.03,22.07,38.91,85.42,41.86,14.44,178.55,65.49,27.13,85.23,,,,,,,,,,,,,Germany,Student,Both API user and developer,,1,0,1,6,1,2,
150,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,1,1,1,1,2,1,2,0,1,0,1,1,1,1,1,0,2,0,3,,,,,,,,,,,,,48.03,112.23,19.09,19.8,26.66,34.32,26.49,19.9,12.83,10.3,34.42,52.03,Germany,Student,Both API user and developer,,1,0,1,1,0,,
151,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,4,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,16.64,22.58,14.11,10.05,26.65,31.31,22.02,11.97,41.24,29.43,27.04,17.11,,,,,,,,,,,,,Switzerland,Software Engineer / Developer,Both API user and developer,,0,0,0,5,1,2,"Not adhering to the common use of HTTP Verbs is very confusing, same as not using path parameters for selecting specific items. (e.g. POST for a search with body instead of query, GET for retrieving items with query instead of path)"
152,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,3,1,1,0,4,1,2,1,1,1,2,0,1,0,4,,,,,,,,,,,,,42.45,45.39,73.02,29.6,86.11,38.38,67.16,37.61,32.35,29.73,30.51,73.19,Germany,Requirements Engineer,Both API user and developer,,0,0,1,1,0,,
153,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,1,2,1,5,1,2,1,5,1,4,1,2,1,1,1,5,1,5,,,,,,,,,,,,,20.3,50.61,56.14,39.16,73.31,29.44,87.66,53.52,33.87,30.18,70.45,74.97,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,1,2,
156,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,1,2,1,5,1,2,1,4,1,3,1,2,1,1,1,5,1,4,,,,,,,,,,,,,16.07,31.25,77.64,32.56,62.44,56.5,54.22,36.89,42.73,20.36,76.04,109.56,Switzerland,Software Engineer / Developer,API user / client developer,,0,0,0,3,1,2,
159,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,5,1,2,1,4,1,2,1,5,1,3,1,1,1,1,1,5,1,5,,,,,,,,,,,,,25.92,30.71,63.34,53.66,67.46,42.74,79.63,26.72,25.77,24.32,108.79,84.06,Germany,Student,Both API user and developer,,1,0,1,1,0,,
160,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,4,1,1,1,5,1,2,1,4,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,22.65,28.8,26.86,20.73,37.88,37.18,48.92,21.12,14.37,23.99,25.06,42.61,Denmark,Software Engineer / Developer,Both API user and developer,,0,0,0,11,0,,
161,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,5,1,3,1,5,1,3,1,5,1,3,1,1,1,1,1,5,1,4,,,,,,,,,,,,,26.48,37.9,65.14,49.55,98.79,54.39,83.3,29.45,21.52,17.73,85.82,75.81,Germany,Consultant,Both API user and developer,,0,0,1,2,1,2,
163,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,0,3,1,2,1,2,1,2,1,4,1,4,1,2,1,1,1,5,1,4,,,,,,,,,,,,,19.07,24.78,25.17,20.47,14.2,22.59,47.22,22.12,16.06,8.13,39.95,52.68,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,10,1,2,"Sometimes I was not sure about the answers or none of the given options fitted. Would have been good to have another option for such cases (e.g. ""other"" or ""not sure"" or ""none of them"") or to tell attendees to choose the best guess."
164,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,2,1,3,1,2,0,2,1,1,1,2,1,2,0,3,1,3,,,,,,,,,,,,,14.34,26.99,15.68,14.86,25.65,22.02,17.19,10.4,13.35,7.45,16.19,23.47,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
165,1,0,3,1,3,1,1,1,2,1,1,0,3,0,2,1,1,1,4,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,62.43,60.68,31.88,40.74,28.4,77.22,122.74,29.01,51.81,165.46,,55.66,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,0,,
166,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,3,1,1,1,2,1,1,0,2,1,2,1,2,1,3,0,2,1,1,,,,,,,,,,,,,34.94,39.72,64.97,19.22,38.61,33.27,28.39,22.68,33.17,31.01,31.99,52.6,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,0,,
